Indicators,sub indicators,NFHS-5 (2019-20),STATE/UT
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.5,Chhattisgarh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),18.0,Haryana
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,Haryana
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.2,Haryana
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),25.3,Jharkhand
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.1,Jharkhand
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.5,Jharkhand
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),26.4,Madhya Pradesh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.8,Madhya Pradesh
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.5,Madhya Pradesh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),30.6,Odisha
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.1,Odisha
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.6,Odisha
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),10.2,Punjab
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.4,Punjab
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,Punjab
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),22.4,Rajasthan
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.8,Rajasthan
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,Rajasthan
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),32.9,Tamil Nadu
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.3,Tamil Nadu
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,Tamil Nadu
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),32.7,Uttar Pradesh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.1,Uttar Pradesh
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.6,Uttar Pradesh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),12.5,Uttarakhand
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.4,Uttarakhand
