S.No.,indicator code,Indicators,sub indicators,NFHS-5 (2019-20),Unnamed: 5,Unnamed: 6,NFHS-4 2015-16,STATE/UT
3666.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),6.5,11.6,10.2,na,Madhya Pradesh
3667.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),35.3,50.8,46.5,na,Madhya Pradesh
3668.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.5,1.2,1.0,na,Madhya Pradesh
3669.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),13.2,18.6,17.1,na,Madhya Pradesh
3770.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,17.4,13.3,14.0,na,Odisha
3773.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,20.3,16.4,17.0,na,Odisha
3776.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,24.5,21.9,22.4,na,Odisha
3779.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,29.3,24.9,25.6,na,Odisha
3794.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),30.6,30.6,30.6,35.2,Odisha
3795.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.1,3.8,3.5,3.2,Odisha
3796.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.6,0.8,0.8,1.8,Odisha
3797.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),16.6,28.0,26.0,na,Odisha
3798.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),40.5,54.1,51.6,na,Odisha
3799.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),1.4,4.9,4.3,na,Odisha
3800.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),22.7,30.2,28.8,na,Odisha
3901.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,15.5,14.3,14.7,na,Punjab
3904.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,15.9,13.0,14.1,na,Punjab
3907.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,30.8,31.4,31.2,na,Punjab
3910.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,36.5,38.4,37.7,na,Punjab
3925.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),10.2,12.6,11.6,20.5,Punjab
3926.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.4,1.7,1.6,2.3,Punjab
3927.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,0.2,0.1,0.0,Punjab
3928.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),0.5,0.3,0.4,na,Punjab
3929.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),12.0,13.4,12.9,na,Punjab
3930.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.3,0.4,0.3,na,Punjab
3931.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),19.7,24.8,22.8,na,Punjab
4032.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,7.9,7.0,7.2,na,Rajasthan
4035.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,9.6,8.7,8.9,na,Rajasthan
4038.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,16.9,14.9,15.4,na,Rajasthan
4041.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,19.2,17.4,17.9,na,Rajasthan
4056.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),22.4,24.9,24.3,25.2,Rajasthan
4057.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.8,2.2,2.1,1.4,Rajasthan
4058.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,1.2,0.9,0.8,Rajasthan
4059.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),5.9,7.2,6.9,na,Rajasthan
4060.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),33.3,44.9,42.0,na,Rajasthan
4061.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.3,0.3,0.3,na,Rajasthan
4062.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),9.3,11.6,11.0,na,Rajasthan
4163.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,23.8,18.0,20.7,na,Tamil Nadu
4166.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,23.7,20.6,22.1,na,Tamil Nadu
4169.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,26.4,23.4,24.8,na,Tamil Nadu
4172.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,31.5,29.0,30.2,na,Tamil Nadu
4187.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),32.9,42.2,38.1,40.7,Tamil Nadu
4188.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.3,3.4,3.3,6.2,Tamil Nadu
4189.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,0.0,0.0,0.9,Tamil Nadu
4190.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),2.3,7.3,4.9,na,Tamil Nadu
4191.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),16.7,23.3,20.1,na,Tamil Nadu
4192.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.2,0.4,0.3,na,Tamil Nadu
4193.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),21.5,29.2,25.4,na,Tamil Nadu
4294.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,11.3,9.6,10.0,na,Uttar Pradesh
4297.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,13.2,11.1,11.6,na,Uttar Pradesh
4300.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,20.9,17.6,18.4,na,Uttar Pradesh
4303.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,24.8,20.7,21.7,na,Uttar Pradesh
4318.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),32.7,35.5,34.8,36.7,Uttar Pradesh
4319.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.1,3.8,3.7,4.3,Uttar Pradesh
4320.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.6,0.7,0.7,1.1,Uttar Pradesh
4321.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),6.5,9.1,8.4,na,Uttar Pradesh
4322.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),34.7,47.6,44.1,na,Uttar Pradesh
4323.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.3,0.3,0.3,na,Uttar Pradesh
4324.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),13.2,15.1,14.6,na,Uttar Pradesh
4425.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,14.0,9.6,10.8,na,Uttarakhand
4428.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,16.3,13.3,14.3,na,Uttarakhand
4431.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,25.4,22.0,22.9,na,Uttarakhand
4434.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,34.8,30.5,31.8,na,Uttarakhand
4449.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),12.5,16.2,15.1,12.7,Uttarakhand
4450.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.4,2.0,2.1,1.4,Uttarakhand
4451.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,0.4,0.3,0.1,Uttarakhand
4452.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),2.8,5.4,4.6,na,Uttarakhand
4453.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),27.6,36.8,33.7,na,Uttarakhand
4454.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.3,0.4,0.3,na,Uttarakhand
4455.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),21.7,27.5,25.5,na,Uttarakhand
4556.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,19.0,(17.2),19.0,na,Chandigarh
4559.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,16.6,(16.0),16.6,na,Chandigarh
4562.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,25.0,(30.0),25.0,na,Chandigarh
4565.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,30.6,(34.6),30.6,na,Chandigarh
4580.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),9.7,*,9.7,22.5,Chandigarh
4581.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,*,0.0,3.5,Chandigarh
4582.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),*,*,*,(0.0),Chandigarh
4583.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),0.6,(0.0),0.6,na,Chandigarh
4584.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),12.0,(23.7),12.1,na,Chandigarh
4585.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.3,(0.0),0.3,na,Chandigarh
4586.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),18.5,(31.6),18.6,na,Chandigarh
4687.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,12.3,10.8,12.2,na,NCT Delhi
4690.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,14.0,14.8,14.1,na,NCT Delhi
4693.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,24.2,20.2,24.1,na,NCT Delhi
4696.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,32.8,31.0,32.8,na,NCT Delhi
4711.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),22.8,(10.3),22.6,26.8,NCT Delhi
4712.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.7,(0.0),3.6,3.4,NCT Delhi
4713.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.6,*,1.6,0.0,NCT Delhi
4714.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),2.2,3.4,2.2,na,NCT Delhi
4715.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),26.2,32.1,26.3,na,NCT Delhi
4716.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.5,0.3,0.5,na,NCT Delhi
4717.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),21.6,22.9,21.6,na,NCT Delhi
4818.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,21.2,17.8,20.1,na,Puducherry
4821.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,23.2,18.3,21.7,na,Puducherry
4824.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,24.3,20.2,23.0,na,Puducherry
4827.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,31.1,28.0,30.1,na,Puducherry
4842.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),29.8,32.5,30.5,34.6,Puducherry
4843.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.3,2.4,1.6,4.6,Puducherry
4844.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,(0.0),0.0,0.1,Puducherry
4845.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),1.2,5.6,2.6,na,Puducherry
4846.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),13.8,17.3,14.8,na,Puducherry
4847.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.1,0.5,0.3,na,Puducherry
4848.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),26.7,30.1,27.7,na,Puducherry
